interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,female,South,not hispanic,white,"$55,000 to $59,999",bachelor,NC,NC04,32,30 ~ 40,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$40,000 to $44,999",bachelor,VA,,66,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,female,Northeast,not hispanic,white,"$100,000 to $124,999",graduate,PA,PA06,37,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",graduate,IL,IL06,61,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$100,000 to $124,999",graduate,FL,FL14,47,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"$15,000 to $19,999",bachelor,OH,OH03,53,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,West,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),AZ,AZ05,65,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Northeast,not hispanic,white,"$125,000 to $149,999",bachelor,NJ,NJ05,50,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,male,West,not hispanic,white,"$40,000 to $44,999",bachelor,CO,CO01,67,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,male,Northeast,not hispanic,asian or pacific,"$40,000 to $44,999",graduate,PA,PA18,55,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,OH,OH07,48,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Retired,The United States,male,West,not hispanic,asian or pacific,"$25,000 to $29,999",tertiary (not bachelor),HI,HI02,68,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$150,000 to $174,999",graduate,FL,FL10,32,30 ~ 40,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,black,"$60,000 to $64,999",tertiary (not bachelor),NJ,NJ02,67,60 ~ 70,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Permanently disabled,The United States,female,South,not hispanic,white,"Less than $14,999",tertiary (not bachelor),TX,TX01,52,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$80,000 to $84,999",tertiary (not bachelor),TX,TX16,73,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,West,not hispanic,white,"$100,000 to $124,999",graduate,MT,MT00,81,>= 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$15,000 to $19,999",bachelor,PA,PA18,66,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,male,West,not hispanic,asian or pacific,"$40,000 to $44,999",bachelor,CA,CA27,81,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,South,not hispanic,white,"$45,000 to $49,999",bachelor,TN,TN03,65,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Northeast,not hispanic,white,"$15,000 to $19,999",at most high school,PA,PA12,21,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,other,other,"$75,000 to $79,999",tertiary (not bachelor),CT,CT05,44,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$175,000 to $199,999",bachelor,TN,TN03,58,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",bachelor,IL,IL03,60,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,white,"Less than $14,999",at most high school,CT,CT01,40,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,female,Midwest,not hispanic,white,"$55,000 to $59,999",bachelor,WI,WI02,61,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$15,000 to $19,999",bachelor,VT,VT00,67,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$150,000 to $174,999",bachelor,NY,NY26,28,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,female,South,not hispanic,white,"$15,000 to $19,999",at most high school,KY,KY05,28,20 ~ 30,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,MD,MD05,62,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",graduate,MO,MO01,68,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$175,000 to $199,999",graduate,FL,FL06,52,50 ~ 60,1
