interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Retired,The United States,male,West,not hispanic,black,"Less than $14,999",at most high school,CA,CA06,57,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$20,000 to $24,999",at most high school,WA,WA01,43,40 ~ 50,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,West,not hispanic,white,"$175,000 to $199,999",graduate,AZ,AZ06,73,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$90,000 to $94,999",tertiary (not bachelor),IL,IL13,64,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,West,mexican,other,"$65,000 to $69,999",at most high school,CA,CA20,41,40 ~ 50,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,Midwest,not hispanic,white,"$150,000 to $174,999",graduate,MN,MN02,64,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$45,000 to $49,999",tertiary (not bachelor),NJ,NJ02,62,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,South,mexican,asian or pacific,"$20,000 to $24,999",bachelor,MS,MS04,27,20 ~ 30,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,female,South,other,white,"$45,000 to $49,999",graduate,MS,MS03,33,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,male,West,not hispanic,white,"$25,000 to $29,999",bachelor,OR,OR03,56,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"Less than $14,999",at most high school,MI,MI05,61,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$100,000 to $124,999",graduate,GA,GA05,49,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Self-employed,The United States,male,West,not hispanic,other,"$45,000 to $49,999",bachelor,CA,CA33,56,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,West,mexican,white,"$50,000 to $54,999",bachelor,CA,CA21,25,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,Midwest,not hispanic,white,"$100,000 to $124,999",graduate,MI,MI10,60,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,female,South,not hispanic,white,"$80,000 to $84,999",graduate,FL,FL13,67,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,female,South,not hispanic,white,"$125,000 to $149,999",at most high school,NC,NC13,54,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,Another country,female,West,not hispanic,white,"$60,000 to $64,999",bachelor,OK,OK04,58,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,male,Northeast,not hispanic,white,"$15,000 to $19,999",at most high school,NJ,NJ01,36,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$85,000 to $89,999",tertiary (not bachelor),MI,MI10,66,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Retired,The United States,female,South,not hispanic,black,"$20,000 to $24,999",tertiary (not bachelor),NC,NC05,67,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$100,000 to $124,999",bachelor,TN,TN09,64,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$40,000 to $44,999",bachelor,VA,VA06,60,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,West,not hispanic,white,"$35,000 to $39,999",bachelor,CA,CA18,56,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Homemaker,The United States,female,South,not hispanic,white,"$60,000 to $64,999",bachelor,NC,NC08,56,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,female,Midwest,not hispanic,white,"$90,000 to $94,999",bachelor,IA,IA02,67,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,female,West,other,other,"$30,000 to $34,999",at most high school,CA,CA38,19,18 ~ 20,0
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,Midwest,not hispanic,black,"$20,000 to $24,999",at most high school,IL,IL12,55,50 ~ 60,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,black,"$80,000 to $84,999",bachelor,FL,FL03,57,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Student,Another country,female,West,not hispanic,white,"$50,000 to $54,999",at most high school,CA,CA32,21,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,male,Northeast,not hispanic,black,"Less than $14,999",at most high school,MA,MA02,27,20 ~ 30,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,South,not hispanic,white,"$80,000 to $84,999",tertiary (not bachelor),SC,SC05,68,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Self-employed,The United States,female,West,not hispanic,other,"$25,000 to $29,999",bachelor,OR,OR02,50,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,South,not hispanic,white,"$55,000 to $59,999",bachelor,OK,OK04,53,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,female,South,not hispanic,white,"$80,000 to $84,999",at most high school,AR,AR01,25,20 ~ 30,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,white,"$30,000 to $34,999",bachelor,MO,MO03,35,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,male,Northeast,not hispanic,white,"$50,000 to $54,999",bachelor,ME,ME02,30,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,male,South,not hispanic,white,"$100,000 to $124,999",tertiary (not bachelor),FL,FL11,74,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,male,South,not hispanic,white,"$15,000 to $19,999",bachelor,FL,,46,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,male,West,not hispanic,asian or pacific,"$15,000 to $19,999",at most high school,HI,HI02,32,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,male,West,mexican,white,"Less than $14,999",at most high school,NM,NM03,28,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,Permanently disabled,The United States,male,West,not hispanic,white,"$70,000 to $74,999",at most high school,CA,CA10,38,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$30,000 to $34,999",at most high school,LA,LA03,57,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Midwest,not hispanic,white,"$85,000 to $89,999",bachelor,WI,WI06,51,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,female,Northeast,not hispanic,white,"$45,000 to $49,999",bachelor,PA,PA15,47,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,male,Midwest,not hispanic,white,"$50,000 to $54,999",bachelor,IL,IL01,40,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,female,South,not hispanic,white,"Less than $14,999",at most high school,NC,NC03,64,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,West,other,white,"$55,000 to $59,999",bachelor,CA,CA47,70,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,male,South,not hispanic,white,"$20,000 to $24,999",at most high school,FL,FL19,63,60 ~ 70,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,female,West,not hispanic,white,"$15,000 to $19,999",bachelor,AZ,AZ06,68,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,black,"$175,000 to $199,999",graduate,OH,OH16,70,>= 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Student,The United States,male,South,puerto rican,black,"$15,000 to $19,999",at most high school,NC,NC01,20,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Permanently disabled,The United States,female,West,not hispanic,other,"$40,000 to $44,999",bachelor,OR,OR03,61,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Midwest,not hispanic,white,"$50,000 to $54,999",bachelor,IL,IL10,41,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,mexican,white,"$70,000 to $74,999",graduate,IL,IL06,49,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,male,Northeast,not hispanic,white,"$25,000 to $29,999",bachelor,MA,MA08,60,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,female,Northeast,not hispanic,white,"$35,000 to $39,999",graduate,PA,PA05,23,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$20,000 to $24,999",tertiary (not bachelor),NC,NC05,55,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$75,000 to $79,999",tertiary (not bachelor),LA,LA03,53,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,other,white,"$45,000 to $49,999",bachelor,FL,FL25,28,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,female,West,not hispanic,white,"$100,000 to $124,999",bachelor,CO,CO02,65,60 ~ 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,West,not hispanic,white,"$200,000 to $249,999",graduate,CA,CA28,40,40 ~ 50,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,West,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),AZ,AZ06,57,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,male,South,not hispanic,white,"$50,000 to $54,999",tertiary (not bachelor),NC,NC03,66,60 ~ 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Northeast,not hispanic,white,"$100,000 to $124,999",bachelor,PA,PA09,73,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$95,000 to $99,999",tertiary (not bachelor),VA,VA05,61,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,Northeast,not hispanic,asian or pacific,"$100,000 to $124,999",graduate,MA,MA07,42,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Northeast,not hispanic,white,"$125,000 to $149,999",bachelor,NY,,38,30 ~ 40,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,Midwest,not hispanic,white,"$60,000 to $64,999",bachelor,IL,IL14,56,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,South,not hispanic,white,"$30,000 to $34,999",at most high school,SC,SC02,50,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,West,not hispanic,white,"$175,000 to $199,999",tertiary (not bachelor),OR,OR05,61,60 ~ 70,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,GA,GA12,34,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,female,South,not hispanic,white,"$125,000 to $149,999",tertiary (not bachelor),LA,,32,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Other:,The United States,male,Midwest,not hispanic,white,"$30,000 to $34,999",at most high school,MO,MO02,60,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,male,South,not hispanic,white,"$30,000 to $34,999",bachelor,KY,KY03,48,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",bachelor,MI,MI07,33,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$30,000 to $34,999",at most high school,PA,PA05,60,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$45,000 to $49,999",bachelor,IL,IL01,56,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,male,South,not hispanic,black,"$25,000 to $29,999",tertiary (not bachelor),GA,GA04,42,40 ~ 50,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,West,not hispanic,asian or pacific,"$125,000 to $149,999",bachelor,CA,CA03,38,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,male,South,not hispanic,white,"Less than $14,999",bachelor,DE,DE00,40,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,South,not hispanic,black,"$45,000 to $49,999",at most high school,TX,,28,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,female,South,not hispanic,black,"$15,000 to $19,999",tertiary (not bachelor),TX,TX17,53,50 ~ 60,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,West,mexican,asian or pacific,"$65,000 to $69,999",graduate,CA,CA15,24,20 ~ 30,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,other,white,"$100,000 to $124,999",graduate,TN,TN07,31,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,West,not hispanic,white,"Less than $14,999",at most high school,OR,OR02,62,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,South,other,white,"$125,000 to $149,999",tertiary (not bachelor),MD,MD02,59,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"$25,000 to $29,999",bachelor,MS,MS03,62,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,male,Midwest,not hispanic,white,"$100,000 to $124,999",bachelor,MI,MI12,50,50 ~ 60,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,male,West,not hispanic,white,"Less than $14,999",bachelor,CA,CA11,60,60 ~ 70,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,black,"$60,000 to $64,999",tertiary (not bachelor),PA,PA17,49,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$20,000 to $24,999",at most high school,WI,WI02,79,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,NC,NC08,61,60 ~ 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Northeast,other,white,"$35,000 to $39,999",at most high school,NY,NY15,44,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"$75,000 to $79,999",bachelor,IN,IN06,62,60 ~ 70,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,West,mexican,white,"$45,000 to $49,999",bachelor,CA,CA43,31,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,Northeast,not hispanic,asian or pacific,"$125,000 to $149,999",graduate,NY,NY23,51,50 ~ 60,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,male,Northeast,not hispanic,white,"$200,000 to $249,999",graduate,NY,NY01,37,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Student,Another country,female,South,not hispanic,white,"$15,000 to $19,999",at most high school,NC,NC04,44,40 ~ 50,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Homemaker,The United States,female,West,not hispanic,white,"$20,000 to $24,999",at most high school,WA,WA04,26,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Homemaker,The United States,female,South,not hispanic,white,"Less than $14,999",bachelor,VA,VA11,38,30 ~ 40,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$45,000 to $49,999",at most high school,SC,SC05,52,50 ~ 60,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$40,000 to $44,999",at most high school,MD,MD01,60,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,West,mexican,black,"$150,000 to $174,999",bachelor,CA,CA03,37,30 ~ 40,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,male,Midwest,not hispanic,white,"$125,000 to $149,999",tertiary (not bachelor),IL,IL13,25,20 ~ 30,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,male,West,mexican,asian or pacific,"$45,000 to $49,999",bachelor,CO,CO02,41,40 ~ 50,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Permanently disabled,The United States,female,Northeast,puerto rican,white,"Less than $14,999",bachelor,NY,NY12,62,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,female,Northeast,not hispanic,black,"$35,000 to $39,999",graduate,CT,CT03,37,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,male,Midwest,not hispanic,white,"$100,000 to $124,999",graduate,OH,OH12,32,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,Northeast,not hispanic,black,"$100,000 to $124,999",graduate,NY,NY16,41,40 ~ 50,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,male,West,not hispanic,white,"$30,000 to $34,999",tertiary (not bachelor),CA,CA48,50,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$100,000 to $124,999",tertiary (not bachelor),KY,KY03,45,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,white,"$55,000 to $59,999",bachelor,CT,CT05,62,60 ~ 70,0
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Not Sure,Retired,The United States,female,South,other,white,"$15,000 to $19,999",at most high school,FL,FL14,68,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,male,Midwest,not hispanic,black,"$50,000 to $54,999",bachelor,MI,MI14,46,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$75,000 to $79,999",graduate,NC,NC11,43,40 ~ 50,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,Another country,female,West,not hispanic,white,"$175,000 to $199,999",bachelor,OR,OR01,44,40 ~ 50,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,Northeast,not hispanic,white,"$35,000 to $39,999",at most high school,PA,PA07,58,50 ~ 60,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,female,Northeast,not hispanic,white,"$250,000 and above",bachelor,NJ,NJ12,30,30 ~ 40,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Northeast,not hispanic,white,"$40,000 to $44,999",bachelor,PA,PA06,29,20 ~ 30,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,female,West,other,other,"$250,000 and above",graduate,CA,CA43,40,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,male,West,other,other,"$45,000 to $49,999",bachelor,CA,CA22,33,30 ~ 40,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,West,mexican,white,"$200,000 to $249,999",graduate,OR,OR04,49,40 ~ 50,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$50,000 to $54,999",bachelor,MO,MO04,34,30 ~ 40,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Part-time employed,The United States,male,Northeast,not hispanic,white,"$50,000 to $54,999",graduate,NJ,NJ12,43,40 ~ 50,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,white,"$35,000 to $39,999",tertiary (not bachelor),NY,NY17,55,50 ~ 60,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Part-time employed,The United States,female,Northeast,not hispanic,white,"$200,000 to $249,999",bachelor,MA,MA05,51,50 ~ 60,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,South,not hispanic,white,"$85,000 to $89,999",graduate,SC,SC07,37,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$55,000 to $59,999",tertiary (not bachelor),FL,FL11,70,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$40,000 to $44,999",at most high school,PA,PA16,74,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,West,not hispanic,white,"$100,000 to $124,999",bachelor,CA,CA26,71,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,female,South,other,white,"$35,000 to $39,999",bachelor,GA,GA14,29,20 ~ 30,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Student,The United States,female,South,not hispanic,white,"$30,000 to $34,999",bachelor,AL,AL02,25,20 ~ 30,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,mexican,white,"$100,000 to $124,999",bachelor,TX,TX06,40,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,female,South,not hispanic,white,"$50,000 to $54,999",bachelor,TX,TX26,21,20 ~ 30,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,male,Northeast,other,white,"$150,000 to $174,999",graduate,NY,NY05,41,40 ~ 50,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Northeast,not hispanic,white,"$35,000 to $39,999",tertiary (not bachelor),NY,NY17,55,50 ~ 60,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,West,not hispanic,white,"$125,000 to $149,999",bachelor,CA,CA25,58,50 ~ 60,1
